english,old_english
"i say now amo “i love”, then you say quem amas? “whom do you love?” i say te amo “i love you” then my love falls on you, and you can say amor a te “i am loved by you”; doceo te “i teach you”, and you say: doceor a te “i am taught by you”, et cetera.","ic cƿeðe nu amo ""ic lufige"", þonne cƿyst ðu quem amas? ""hƿæne lufast ðu?"" ic cƿeþe te amo ""þe ic lufige"" þonne befylð min lufu on ðe, and ðu miht cƿeðan amor a te “ic eom ᵹelufod fram ðe”; doceo te “ic tæce ðe”, and ðu cƿyst: doceor a te “ic eom ᵹelæred fram ðe”, et cetera."
I can't understand.,Ic ne forstande.
the end is nigh.,se ende is nēah.
The king has come.,Se cyning cōm.
she worked.,hēo worhte.
tom goes to the same school as mary does.,tom gæþ to seolfre scole swa mary.
The king came.,Se cyning cōm.
Where were you?,Hƿǣr ƿǣre þū?
Good afternoon.,Gōdne ǣfen.
"my father, i ask where the offering is; here is the wood and fire.","'fæder min, ic ascie hwær seo offrung sie; her is wudu and fyr.'"
They eat meat.,Hie etaþ brædeas.
The cat's dead.,Se catt is dēad.
Love you.,Ič lufie þē.
He was a good king.,Hē ƿæs gōd cyning.
That is your book.,Þæt is þīn bōc.
What word is that?,Hƿæt is þis ƿord?
You're my boyfriend.,Þu eart min freond.
The dog died.,Se hund is dēad.
Kill.,Cwele.
It's your book.,Þæt is þīn bōc.
The apple isn't yet ripe.,Se æppel ne is ᵹit rīpe.
The world is a school.,Weorold biþ scol.
where are your ancestors from?,hwǣr ær þīnne gegaderode frām?
He hates spiders.,He hataþ spīþran.
The cat is black.,Se catt is blæc.
I don't want to go to school!,Ic nelle to þæm larhuse.
Ziri will be there.,Ziri wille bēon þǣr.
Buy!,Byge!
Who hurt Tom?,Hwa wyrde Tom?
my wife is polish.,mīn ƿīf is polisc.
Where were you guys?,Hƿǣr ƿǣron ᵹē?
he drank beer.,hē dranc bēor.
I'm a human.,Iċ eom wær.
"Our Father in heaven, hallowed be your name.","Fæder ure þu þe eart on heofonum, si þin nama gehalgod."
let's eat grandma.,uton ealdmodor etan.
It's John's apple.,He is Iohannes æppel.
close the window.,clȳs se ēagþȳrel.
Ta!,Þancie þé!
i'm tom.,ic beo tom.
Who hurt Tom?,Hwa wundige Tom?
Thank you!,Þancie!
I bathed.,Bēo fisċ.
I am a fish.,Bēo fisċ.
she had a very beautiful wife.,hēo hæfde ān swīþe ǣnliċ wīf.
Do what I say.,Do þe ic secge.
Thanks.,Ic þancie þé!
do you speak russian?,spricest þú on russisce?
trees are alive.,trēowu libbaþ.
the birds sang.,þā fuglas sungon.
One of the dogs is alive.,Ān þāra hunda is on līfe.
We are brothers.,Wē bēoþ brōþra.
Peace to you.,Friþ ēow.
I don't understand.,Ič ne undernime.
Thank goodness!,Þancīe God!
where do you work?,hwǣr wyrcest þū?
Toodle-oo!,Far gesund!
My name is Alfred. How are you doing?,Mīn nama is Ælfred. Hū fǣrst þū?
feed the bird.,fēd se fugol.
The ship sailed over the water.,Þæt sċip seġled ōfer þæm wætere.
Let's roll.,Onginnað.
I know that I do not know.,Ic wat þæt ic nat.
tom is not trump.,tom ne biþ trump.
"our father who art in heaven, hallowed be your name.","fæder ure þu þe eart on heofonum, si þin nama gehalgod."
"You can lie to everyone else, but you can't lie to yourself.","Þú meaht léogan ǽg-hƿǽm elles, ac þú ne meaht léogan þé sylfum."
John is my name.,Mīn nama biþ Iohannes.
She's studying botany.,Hēo leornaþ wyrtas.
"he then named the place dominus videt, that is, 'god sees', and yet said so, in monte dominus videbit, that is, 'god sees on the mountain'.","he het þa þa stowe dominus videt, þæt is 'god gesiehð', and giet is gesægd swa, in monte dominus videbit, þæt is 'god gesiehð on dune'."
You've asked me.,Þū frugne mē.
What are you going to do next year?,Hƿæt dēst þū æfter ᵹēar?
She was a good cat.,Hēo wæs gōd catte.
december is the last month of the year.,ġēolmōnaþ is se lætemesta monaþ þæs ᵹēares.
Whoa!,Bid!
the wolf ate the king.,se wulf æt þone cyning.
fire! run!,fȳr! rinnaþ!
virginity is lost in intercourse.,mæġþhād biþ forloren on hǣmede.
bye!,far gesund!
we're friends.,wē sind frīend.
my name is john.,mīn nama biþ iohannes.
Tom isn't a Jew.,Tom ne biþ Iūdēsiċne.
She drinks beer.,Hē dranc bēor.
The wolf ate the king.,Se wulf æt þone cyning.
I believe Elvis is still alive.,"Ič ᵹe-lȳfe, þæt Elfis ᵹiet on līfe is."
A language is a dialect with an army and a navy.,Sum spræce biþ geþeode mid hererincum and scipum.
I love you!,Ic lufige þē!
"Good morning, everybody.","Gōdne morgen, ǣg-hƿā."
Tom's died.,Tom is dēad.
Where've you been?,Hƿǣr ƿǣre þū?
This apple is red.,Se æppel biþ rēad.
Few students know Latin.,Fēawe leorneras cunnon Lǣden.
"god then wanted to test abraham's obedience, and called out his name.","god wolde þa fandian abrahames gehiersumnesse, and clipode his naman."
I use this.,Ic benotiġe þisne.
The tomcat is dead.,Se catt is dēad.
Abraham then immediately returned to his servants and so they went home with heavenly blessing.,Abraham þa gecierde sona to his cnapum and ferdon him ham swa mid heofonlicre bletsunge.
I'm going to tell your parents everything.,Ic eall ēowrum fæderum and mēderum secgan sceal.
You shouldn't trust your memory so much.,Ġē ne sculon swā swīðe trūwian ēowrum gemynde.
our army attacked the kingdom.,ure here rǣsedon þæt cynerīċe.
the king protested.,se cyning wiþstōd.
Where've you guys been?,Hƿǣr ƿǣre þū?
Virginity is lost in intercourse.,Mæġþhād biþ forloren on hǣmede.
winter is coming.,winter biþ cumeþ.
Thank God.,Heriaþ se brytan.
good morning!,gōdne mergen!
who hurt tom?,hwa wierde tom?
the king came.,se cyning cōm.
My name's John.,Mīn nama biþ Iohannes.
"Good morning, everyone!","Gōdne morgen, ǣg-hƿā."
In the beginning God created the heaven and the earth.,On angynne gesceop God heofenan and eorðan.
he invented the wheel.,hē āhogde se wēol.
Let's get the show on the road.,Onginnað.
Good evening!,Gōdne ǣfen.
Do you know English?,Spricest þú on Ænȝlisce?
Do you want to live?,Wilt þū libban?
"To be, or not to be, that is the question.","Béon oþþe ne béon, þæt is þæt fræġn."
i am short.,ic bēo sċort.
"January, February, March, April, May, June, July, August, September, October, November and December are the twelve months of the year.","Se æftera Ġēola, Solmōnaþ, Hrēðmōnaþ, Ēastermōnaþ, Þrimilcemōnaþ, Sēarmōnaþ, Mǣdmōnaþ, Ƿēodmōnaþ, Hærfestmōnaþ, Ƿinterfylleþ, Blōtmōnaþ, and Ġēolamōnaþ sind tƿelf þāra mōnaþa þæs ᵹēares."
Tom is a friend of mine.,Tom is min freond.
isaac then asked his father abraham:,isaac þa ascode abraham his fæder:
i want a sword like this!,ič ƿille sƿeord ᵹe-līč þissum!
I am the state.,Iċ biþ þæt rīċe!
he was at the gate of death.,hē ƿæs æt þǣm geate dēaðes.
What's your name?,Hwæt hātest þū?
She buys bread.,Hēo bygþ hlāf.
Yep.,Gea.
Run!,Rinn!
this is the lady who wants to see you.,þēos is sēo hlǣfdīge þe wile sēon þec.
the coronavirus is dangerous.,se coronaclēofanwyrm beoþ frécenfulne.
Life's short.,Līf biþ sċort.
"Hi, how are you?",Wes hāl! Hú meaht þú?
I don't want to get injured.,Ic ne wille beon wund.
my dad went to buy milk.,min fæder eode meolce brycgian.
She had a very excellent wife.,Hēo hæfde ān swīþe ǣnliċ wīf.
"the angel then said to him: 'do not kill your child, nor should your hand stretch out over his neck!'","se engel him cwæð þa to: 'ne acwele þu þæt cild, ne þine hand ne astrece ofer his sweoran!'"
abraham then immediately returned to his servants and so they went home with heavenly blessing.,abraham þa gecierde sona to his cnapum and ferdon him ham swa mid heofonlicre bletsunge.
Summer is hot.,Sumor is hāt.
"but that your fear of me was greater than his life, now i bless you and your offspring, just so that they multiply like the stars in the heavens and just as grains of sand on the sea.","'ac þe wæs min ege mare þonne his lif, ic þe nu bletsie and þinne ofspring gemanigfealde swa swa steorran on heofonum and swa swa sandceosol on sæ.'"
No.,Ne.
I don't need a car. I am the car.,Ic ne þurfe wægnes. Ic beo se wægn.
Tom is a gentile.,Tom ne biþ Iūdēsiċne.
Esperanto is an international planned language.,Esperanto biþ þēodeorþe geācræfted geþēode.
We two know that you two lie.,Wit witon þe ᵹit lēoᵹaþ.
The king is coming.,Se cyning cōm.
Hello.,Gōdne ǣfen.
What did he say?,Hƿæt sæᵹde hē?
It rained hail.,Hit hagolode.
I'm a human being.,Iċ eom wīf.
"let's eat, grandma.","uton etan, ealdmodor."
"it's summer, the flowers are here.","hit's sūmer, se blōman sindan hēr."
Why?,Hwy?
Where's your home?,Hwǣr wunast þū?
where were you?,hƿǣr ƿǣron ᵹē?
he kissed my neck.,hē cysseþ mīnne heals.
I am a girl.,Iċ eom wīf.
OMG!,Mīn God!
Our country wants nothing but peace.,Ƿile ūser land nān-ƿiht būtan friþ.
A friend shows in misfortune.,Æt þearfe man sceal freonda cunnian.
"now, in latin there are twenty-three letters: a, b, c, d, e, f, g, h, i, k, l, m, n, o, p, q, r, s, t, u, x, y, z.","soðlice on ledenspræce synd þreo and twentig stafa: a, b, c, d, e, f, g, h, i, k, l, m, o, p, q, r, s, t, u, x, y, z."
she has green eyes.,hēo hæfþ grēne ēagan.
You're my buddy.,Þu eart min freond.
Birds sing.,Fuglas galaþ.
My mistake.,Min miscennung.
We have to decide quickly.,Wē mōton hrædlice ġesċeādan.
my wife looked surprised.,mīn wīfmann wundrode.
I have a cat and a dog. The cat's black and the dog's white.,Ič hæbbe catt and hund. Se catt is blæc and se hund is hƿīte.
I'm Tom.,Ic beo Tom.
the cat is black.,se catt is blæc.
buy!,byge!
I am the state.,Iċ biþ þæt rīċe.
birds fly.,fuglas flēogaþ.
remember!,ġemyne!
tom is dead.,tom is dēad.
That was the best day of my life.,Þæt ƿæs se besta dæᵹ on mīnum līfe.
he loved him.,he lufode hine.
the dreadful fire shall be hot to many.,hát biþ monegum egeslíc æled.
Where do you stay?,Hwǣr wunast þū?
life is short.,līf biþ sċort.
"His father answered, 'God will provide, my son, the offering for himself.'","Him andwyrde se fæder, 'God foresceawað, mine sunu, him self þa offrunge.'"
the queen stood beside the king.,sēo cƿēn stōd be þǣm cynlinge.
Nope.,Ne.
Where is your house?,Hwǣr wunast þū?
you need to be very quiet.,þu scealt beo swiðe stille.
What did you buy it for?,Hƿȳ bohton ᵹē hit?
Thanks!,Þancie þé!
December is the last month of the year.,Ġēolmōnaþ is se lætemesta monaþ þæs ᵹēares.
tom's dead.,tom is dēad.
Good day.,Gōdne ǣfen.
It is said that he was very rich.,Man sæᵹeþ þe hē sƿīðe ƿelig ƿæs.
in the beginning god created the heaven and the earth.,on angynne gesceop god heofenan and eorðan.
"Our body was formed out of four elements: earth, fire, water, and air.","Úre líchoma wæs gesceapen of feówer gesceaftum, of eorþan and of fýre and of wætere and of lyfte."
The attack has begun!,Se onrǣs ongann!
Enjoy your food.,Gōd metesōcn!
"Our Father who art in heaven, hallowed be Thy name. Thy kingdom come, Thy will be done, on earth as it is in heaven. Give us this day our daily bread, and forgive us our offenses, as we forgive our offenders, and lead us not to temptation, but free us from evil. Truly.","Fæder ūre þū þe eart on heofonum; sī þīn nama ġehālgod, tōbecume þīn rīċe, ġewurþe ðīn willa, on eorðan swā swā on heofonum. Ūrne ġedæġhwāmlīcan hlāf syle ūs tō dæġ, and forgyf ūs ūre gyltas, swā swā wē forgyfað ūrum gyltendum, and ne ġelǣd þū ūs on costnunge, ac ālȳs ūs of yfele. Sōþlīċe."
there is a pair of scissors on the desk.,scēars sind on þǣm bēode.
You're asleep; I'm awake.,Ġē slǣpaþ; ic ne slǣpe.
I admire your courage.,Ic herie þīnne mōdþrace.
"you may write in any language you want. on tatoeba, all languages are equal.",þu mægst in ealle geþeodu writan. on tatoeba sindon ealle geþeodu gelic.
goodbye.,far gesund!
Tom is a goy.,Tom ne biþ Iūdēsiċne.
My wife is Polish.,Mīn ƿīf is Polisc.
he is my king.,he biþ mīn cyninge.
What is your name?,Hwæt hātest þū?
I'd rather stay here.,Mē is lēofre wunige hēr.
"I have no money, but I have dreams.","Ic ne hæbbe fēoh, ac Ic hæbbe swefnu."
Can I help you?,Mæġ Ic helpe þeċ?
Good morning!,Gōdne mergen!
Why did he write that?,Hwī wrāt hē þæt?
See you later!,Far gesund!
The cat is dead.,Sēo catte is dēad.
"Our Father who art in heaven, hallowed be your name.","Fæder ure þu þe eart on heofonum, si þin nama gehalgod."
Hurry!,Sċēot!
Drive carefully.,Drīfaþ carfullīce.
What're you two doing?,Hƿæt dōþ ᵹit?
what is that?,hwā biþ þone?
Tom didn't have enough money.,Tom ne hæfde ᵹe-nōgne fēoh.
we want peace.,wē willaþ friþ.
"then abraham looked immediately behind and saw a ram between the brambles, caught by the horns, and he lifted up the ram to the offering, and he slaughtered it there as a sacrifice to god instead of his son isaac.","þa beseah abraham sona underbæc and geseah þær anne ramm betweox þam bremelum be þam hornum gehæft,and he ahefde þone ramm to þære offrunge and hine þær ofsnað gode to lace for his sunu isaac."
how old are you?,hū eald eart þū?
Allah is everywhere.,God biþ ǣġhwǣr.
What is a god?,Hwā is God?
Trees are alive.,Trēowu libbaþ.
"and what do you drink? ""ale if i have it, or water if i don't have ale."" ""don't you drink wine?""","⁊ hƿæt drincst þu? ""ealu, ᵹif ic hæbbe, oþþe ƿæter ᵹif ic næbbe ealu."" ""ne drincst þu ƿin?"""
"Then on the third day, when they saw the mountain where they had to go to slay Isaac, then Abraham said to those two servants thus:","Þa on þam þriddan dæge, þa hie þa dune gesawon þær þær hie to scoldon to ofsleanne Isaac, þa cwæð Abraham to þam twam cnapum þus:"
Ta!,Þancie!
See you soon!,Far gesund!
See you.,Far gesund!
Do you love me?,Lufast ðū mē?
See you!,Far gesund!
"Yes, she will.",Gea.
bye-bye!,far gesund!
wait!,bid!
that was the best day of my life.,þæt ƿæs se besta dæᵹ mīnes līfes.
"if you don't come to me, i'll come to you.","gif þu to me ne cume, cume ic to þe."
"My God, my God, why hast thou forsaken me?","Mīn God, mīn God, tō hwȳ forlēte þū mē?"
My God!,Mīn God!
Do you like me?,Lufast ðū mē?
I'm a girl.,Iċ eom wīf.
my name is alfred. how are you doing?,mīn nama is ælfred. hū fǣrst þū?
Bye!,Far gesund!
my sword is my life.,mīn sweord biþ mīn līf.
Welcome to Tatoeba!,Wilcume be Tatoeba
Who knows?,Hwā cnǣwþ?
you lie.,ðū līhst.
"My father, I ask where the offering is; here is the wood and fire.","'Fæder min, ic ascie hwær seo offrung sie; her is wudu and fyr.'"
she had a beautiful wife.,hēo hæfde ān ǣnliċ wīf.
He is old.,Hē is eald.
When will you come home?,Hƿonne cymest þū hām?
my girlfriend cried.,mīn lufestre grēt.
'you wait here with the donkeys for a while. i and the child will go to pray and we will come again immediately to you.',"'anbidiað eow her mid þam assum sume hwile. ic and þæt cild gað unc to gebiddenne, and we siððan cumað sona eft to eow.'"
water is life.,wæter biþ feorh.
god knows.,god cnǣwþ.
I thank you.,Þancie!
she is old.,hēo biþ eāld.
Adversity is the test of friendship.,Æt þearfe man sceal freonda cunnian.
Thank you.,Þancie þé!
"If you don't come to me, I'll come to you.","Gif þu to me ne cume, cume ic to þe."
The king is a fool.,Sē cyning is unwita.
Tom died.,Tom is dēad.
i like both dogs and cats.,mē līciaþ ᵹe hundas ᵹe cattas.
He and I are friends.,Wē sind frīend.
that man is the king.,se mann is se cyning.
i have a daughter.,ič hæbbe dōhtor.
Happy birthday!,Gesǣlig Nīwe Gēar.
ta!,þancie!
Let's get started!,Onginnað.
dost thou love me?,lufast ðū mē?
When will you be getting home?,Hƿonne cymest þū hām?
i am 18 years old.,iċ eom eahtatīne ġear eald.
God exists.,God ġestenteþ.
Tom is a non-Jew.,Tom ne biþ Iūdēsiċne.
Where are you living?,Hwǣr wunast þū?
Good morning.,Gōdne mergen!
"his father answered, 'god will provide, my son, the offering for himself.'","him andwyrde se fæder, 'god foresceawað, mine sunu, him self þa offrunge.'"
Where are your ancestors from?,Hwǣr ær þīnne gegaderode frām?
Tom has died.,Tom is dēad.
i promise.,ic ġehāte.
i know you are rich.,ic wāt þe biþ rīċe.
She had a very beautiful wife.,Hē hæfde ān swīþe ǣnliċ wīf.
why don't you fish on the sea?,for hwi ne fixast þu on sæ?
Hey! I'm Edward.,Ēalā! Iċ hatā Ēadweard.
Welcome to the English Wikipedia.,Ƿilcume on þā Engliscan Ƿikipǣdie.
adversity is the test of friendship.,æt þearfe man sceal freonda cunnian.
i didn't know that he was there.,"ič ne cnēƿ, þe hē þǣr ƿæs."
"when darius saw that he would be overcome, he wanted to commit suicide in that battle.","þa darius geseah þæt he overƿunnen beon ƿolde, þa ƿolde he hiene selfne on ðæm gefeohte forspillan."
Hi. How are you?,Wes hāl! Hú meaht þú?
Sheep eat grass.,Eóweas etaþ grádas.
I'm going to tell your parents everything.,Ic eall þīnum fæder and mēder secgan sceal.
I know you are rich.,Ic wāt þe biþ rīċe.
"At that time, Ethelbert ruled as king in Kent, and was powerful.","Ðā ƿæs on þā tīd Æþelbeorth cyning hāten on Centrīce, and mihtig."
'Ppreciate it!,Þancie!
See ya.,Gōdne ǣfen.
"where's his book? ""it's on the table.""","hƿǣr is his bōc? ""hēo is on þǣm bēode."""
I'm in good health.,Ic eom gesund.
"Good morning, everyone.","Gōdne morgen, ǣg-hƿā."
He also saw it.,Eac he geseah hit.
You are everything to me.,Þú bist eall tó mé.
i see the sun and the moon.,ic geseo sunnan ond monan.
"No, it's not.",Ne.
I like both dogs and cats.,Mē līciaþ ᵹe hundas ᵹe cattas.
run!,rinn!
Cheers!,Þancie!
i'm gay.,ic bēo ilcahæmedeþ.
I've got a house with a blue roof.,Ic hæbbe hūs mid blāwum hrōfe.
I'm 18 years old.,Iċ eom eahtatīne ġear eald.
Farewell!,Far gesund!
she was a good cat.,hēo wæs gōd catte.
The tom is dead.,Se catt is dēad.
she had a very excellent wife.,hēo hæfde ān swīþe ǣnliċ wīf.
one of the dogs is alive.,ān þāra hunda is on līfe.
That's your book.,Þæt is þīn bōc.
She has green eyes.,Hēo hæfþ grēne ēagan.
He drinks beer.,Hē dranc bēor.
tom is teaching us french.,tom lǣreþ ūs þā frenciscan sprǣc.
tom is evil.,tom ys yfel.
"Tom is old, but he's young at heart.","Þómas is eald on ġēarum, ac hē is ġyt ġeong on gǣste."
i admire your courage.,ic herie þīnne mōdþrace.
The mammal is dead.,Se hund is dēad.
i hear the birds.,ic gehiere þa fuglas.
He doesn't help the poor.,Hē ne helpþ þǣm earmum.
I want to dance.,Ič ƿille frician.
I'm a person.,Iċ eom wīf.
This sentence consists of six words.,Þes cwide hæfþ six worda gebrocen.
I have four children.,Ic hæbbe fēower tudru.
I'm me.,Ic beo ic.
He was very poor.,Hē ƿæs sƿīðe ærm.
Hi! How are you?,Wes hāl! Hú meaht þú?
Yes.,Gea.
allah is everywhere.,god biþ ǣġhwǣr.
Why change a sentence that's correct?,Hwȳ sceolde man āwendan riht word?
I will see you around.,Far gesund!
is she home?,is heo ham?
Shoot!,Sċēot!
"they came to the place that was revealed to him by god, and he there erected an altar in the ancient manner, and the wood was arranged just as he wanted to have it happen for his son's burning after he slayed him.","hie comon þa to þære stowe þe him gesweotolode god, and he þær weofod arærde on þa ealdan wisan, and þone wudu gelogode swa swa he hit wolde habban to his suna bærnette siððan he ofslægen wurde."
Maybe that's also a way of saying it.,Hit mæg bēon þæt man mæg ēac hit swā secgan.
Tom is my friend.,Tom is min freond.
Thank you.,Ic þancie þé!
Where've you been?,Hƿǣr ƿǣron ᵹē?
He is young.,Hē is ġeong.
children are the flowers of our lives.,cild sind þá blóstmas úrera lífa.
Kill!,Cwele.
Call the police.,Cīg þǣm weardum!
Don't understand.,Ic ne forstande.
he was a good king.,hē ƿæs gōd cyning.
"To be or not to be, that is the question.","Béon oþþe ne béon, þæt is þæt fræġn."
Thank you.,Þancie!
I'm not getting this.,Ic ne forstande.
"Name and address, please.",Hwǣr wunast þū?
His wife is French.,Mīn wīfmann biþ Frenċisċ.
you are lying.,ðū līhst.
he was a good cat.,hē wæs gōd catt.
Do you know how to speak English?,Cannst þú Enȝlisc?
What are words?,Hwæt biþ word?
why did you buy it?,hƿȳ bohtest þū hit?
life was better in the olden days.,līf wæs betere geārdagum.
Kill!,Cwele!
I'm well.,Ic eom gesund.
she baked bread.,hēo bōc hlāf.
You can't judge a book by its cover.,Oft on sotigum bylige searoƿa licgað.
Morning!,Gōdne mergen!
What's a word?,Hwæt biþ word?
I am me.,Ic beo ic.
"She was a girl, and he was a boy.","Hēo wæs mǣġþ, and hē wæs cnapa."
Enjoy your meal!,Gōd metesōcn!
Hail destroyed the harvest.,Se hagol forspilde þā geripu.
What did you buy it for?,Hƿȳ bohtest þū hit?
"The angel then said to him: 'Do not kill your child, nor should your hand stretch out over his neck!'","Se engel him cwæð þa to: 'Ne acwele þu þæt cild, ne þine hand ne astrece ofer his sweoran!'"
One language is never enough.,Ān geþēode is nǣfre genōg.
Put your hands up!,Geuferaþ ēowre handa!
i am your king.,ic bēo ēowre cyninge.
we are friends.,wē sind frīend.
a friend in need is a friend indeed.,æt þearfe man sceal freonda cunnian.
Can you speak English?,Spricest þú on Ænȝlisce?
john is my age.,iohannes biþ mīnne ieldu.
We're friends.,Wē sind frīend.
